year,code,country,sex,value,highlighted
2010,LTU,Lithuania,Male,59.00508674154671,True
2010,LTU,Lithuania,Female,66.82950097487975,True
2011,LTU,Lithuania,Male,59.4337420592195,True
2011,LTU,Lithuania,Female,67.14231166756969,True
2012,LTU,Lithuania,Male,59.82497209904548,True
2012,LTU,Lithuania,Female,67.40504169747436,True
2013,LTU,Lithuania,Male,60.20061075383186,True
2013,LTU,Lithuania,Female,67.6208999560616,True
2014,LTU,Lithuania,Male,60.561333383934766,True
2014,LTU,Lithuania,Female,67.81242715717445,True
2015,LTU,Lithuania,Male,60.82916217577012,True
2015,LTU,Lithuania,Female,67.93069213745672,True
2016,LTU,Lithuania,Male,61.25605938908131,True
2016,LTU,Lithuania,Female,68.10908627556631,True
2017,LTU,Lithuania,Male,61.77522838363101,True
2017,LTU,Lithuania,Female,68.3131605730875,True
2018,LTU,Lithuania,Male,62.16991513826634,True
2018,LTU,Lithuania,Female,68.50264386524397,True
2019,LTU,Lithuania,Male,62.3358153677576,True
2019,LTU,Lithuania,Female,68.58781532189084,True
2020,LTU,Lithuania,Male,61.47758330743223,True
2020,LTU,Lithuania,Female,67.77865532721486,True
2021,LTU,Lithuania,Male,60.93032363979518,True
2021,LTU,Lithuania,Female,66.79252777260132,True
2022,LTU,Lithuania,Male,61.87524284634464,True
2022,LTU,Lithuania,Female,67.57789442426166,True
2023,LTU,Lithuania,Male,62.60916540566387,True
2023,LTU,Lithuania,Female,68.4810340620635,True
2000,LUX,Luxembourg,Male,66.0851238596536,False
2000,LUX,Luxembourg,Female,69.42858103154899,False
2001,LUX,Luxembourg,Male,66.43047643503142,False
2001,LUX,Luxembourg,Female,69.5603483998037,False
2002,LUX,Luxembourg,Male,66.58256118823441,False
2002,LUX,Luxembourg,Female,69.67167698733351,False
2003,LUX,Luxembourg,Male,66.83240728344029,False
2003,LUX,Luxembourg,Female,69.79875562538031,False
2004,LUX,Luxembourg,Male,67.16879274848253,False
2004,LUX,Luxembourg,Female,70.01625248819391,False
2005,LUX,Luxembourg,Male,67.51000200583424,False
2005,LUX,Luxembourg,Female,70.17412503469383,False
2006,LUX,Luxembourg,Male,67.73140966353921,False
2006,LUX,Luxembourg,Female,70.25301216704568,False
2007,LUX,Luxembourg,Male,68.05070938420931,False
2007,LUX,Luxembourg,Female,70.38885850269999,False
2008,LUX,Luxembourg,Male,68.29456809333925,False
2008,LUX,Luxembourg,Female,70.57277300759894,False
2009,LUX,Luxembourg,Male,68.50838377504722,False
2009,LUX,Luxembourg,Female,70.7534022153999,False
2010,LUX,Luxembourg,Male,68.74124895643143,False
2010,LUX,Luxembourg,Female,70.87302914695668,False
2011,LUX,Luxembourg,Male,69.01024698350267,False
2011,LUX,Luxembourg,Female,70.9701989968757,False
2012,LUX,Luxembourg,Male,69.25908985878684,False
2012,LUX,Luxembourg,Female,71.13518517755605,False
2013,LUX,Luxembourg,Male,69.53935505356388,False
2013,LUX,Luxembourg,Female,71.23229113740176,False
2014,LUX,Luxembourg,Male,69.75908315060657,False
2014,LUX,Luxembourg,Female,71.42501450490711,False
2015,LUX,Luxembourg,Male,69.95268116967397,False
2015,LUX,Luxembourg,Female,71.5236751191065,False
2016,LUX,Luxembourg,Male,70.12498292509711,False
2016,LUX,Luxembourg,Female,71.62460417069562,False
2017,LUX,Luxembourg,Male,70.3614936246926,False
2017,LUX,Luxembourg,Female,71.77864452952207,False
2018,LUX,Luxembourg,Male,70.55519630881182,False
2018,LUX,Luxembourg,Female,71.93805621209873,False
2019,LUX,Luxembourg,Male,70.77892957543918,False
2019,LUX,Luxembourg,Female,72.08946587738231,False
2020,LUX,Luxembourg,Male,70.07937373574646,False
2020,LUX,Luxembourg,Female,71.36511532540553,False
2021,LUX,Luxembourg,Male,70.21267407443298,False
2021,LUX,Luxembourg,Female,71.44311185237456,False
2022,LUX,Luxembourg,Male,70.44050358825346,False
2022,LUX,Luxembourg,Female,71.51682217678552,False
2023,LUX,Luxembourg,Male,70.58519436366792,False
2023,LUX,Luxembourg,Female,71.58898085679864,False
2000,LVA,Latvia,Male,56.897865179808704,False
2000,LVA,Latvia,Female,64.7299373417702,False
2001,LVA,Latvia,Male,57.05977146156963,False
2001,LVA,Latvia,Female,64.84152024358124,False
2002,LVA,Latvia,Male,57.30206636595405,False
2002,LVA,Latvia,Female,64.96703797428128,False
2003,LVA,Latvia,Male,57.54784218299931,False
2003,LVA,Latvia,Female,65.1075480156869,False
2004,LVA,Latvia,Male,57.66842358177599,False
2004,LVA,Latvia,Female,65.25479282011895,False
2005,LVA,Latvia,Male,57.70572218563628,False
2005,LVA,Latvia,Female,65.38823106875547,False
2006,LVA,Latvia,Male,57.74092864817728,False
2006,LVA,Latvia,Female,65.451181919858,False
2007,LVA,Latvia,Male,58.20089475027102,False
2007,LVA,Latvia,Female,65.75849550554773,False
